dataset_number,r_mm_mean,theta_mean,r_mm_std,theta_std,Delta_r_mm,Delta_theta,Delta_t_s,IB_duration_s
0,24.613,-3.1184,0.008,0.0029,0.032,0.1819,0.200,0.120
0,24.645,-2.9365,0.074,0.0077,-0.210,0.2368,0.240,0.160
0,24.435,-2.6997,0.071,0.0129,-0.250,0.1650,0.160,0.320
0,24.185,-2.5348,0.057,0.0085,0.783,-0.0248,0.080,0.320
0,24.968,-2.5595,0.036,0.0006,0.080,-0.0619,0.120,0.080
0,25.048,-2.6215,0.009,0.0019,-0.685,-0.0002,0.040,0.080
0,24.363,-2.6217,0.219,0.0056,-3.170,-0.2651,0.200,0.160
0,21.194,-2.8868,0.000,0.0000,-0.496,-0.0130,0.040,0.040
0,20.698,-2.8998,0.165,0.0011,3.382,0.0133,0.200,0.160
0,24.080,-2.8865,0.036,0.0065,0.766,-0.0289,0.080,0.160
0,24.846,-2.9154,0.000,-0.0000,-1.267,-0.1194,0.160,0.040
0,23.579,-3.0348,0.077,0.0043,0.906,-0.0703,0.080,0.360
0,24.485,-3.1051,0.071,0.0028,-0.145,-0.1518,0.160,0.320
0,24.340,3.0263,0.081,0.0085,0.021,-0.1643,0.120,0.360
0,24.362,2.8620,0.069,0.0122,-0.132,-0.1876,0.160,0.400
0,24.230,2.6743,0.000,-0.0000,0.049,-0.0305,0.040,0.040
0,24.279,2.6438,0.000,-0.0000,0.081,-0.0290,0.040,0.040
0,24.359,2.6148,0.064,0.0089,-0.180,-0.1486,0.120,0.320
0,24.179,2.4662,0.055,0.0123,0.413,0.0286,0.080,0.640
0,24.592,2.4947,0.000,-0.0000,-0.362,-0.1112,0.160,0.040
0,24.230,2.3835,0.020,0.0013,0.361,0.0183,0.040,0.200
0,24.592,2.4018,0.000,-0.0000,-0.113,-0.0298,0.040,0.040
0,24.479,2.3720,0.085,0.0026,-0.352,-0.1431,0.160,0.120
0,24.127,2.2290,0.000,-0.0000,0.187,-0.0167,0.040,0.040
0,24.314,2.2123,0.066,0.0023,-0.324,-0.1441,0.120,0.120
0,23.990,2.0682,0.046,0.0139,-2.470,-0.1557,0.160,0.680
0,21.519,1.9125,0.000,0.0000,0.368,-0.0457,0.040,0.040
0,21.887,1.8668,0.048,0.0103,-0.752,-0.1582,0.200,0.280
0,21.135,1.7086,0.007,0.0052,-0.158,-0.0430,0.040,0.080
0,20.977,1.6656,0.081,0.0141,-3.318,-0.1031,0.160,0.520
0,17.659,1.5625,0.044,0.0064,-0.322,-0.0439,0.040,0.080
0,17.337,1.5186,0.121,0.0045,-2.733,-0.0745,0.160,0.480
0,14.604,1.4441,0.083,0.0041,2.346,-0.1941,0.160,0.160
0,16.949,1.2499,0.000,-0.0000,0.072,-0.0308,0.040,0.040
0,17.021,1.2192,0.043,0.0064,-0.719,-0.1890,0.200,0.240
0,16.303,1.0302,0.045,0.0094,-0.522,-0.2973,0.240,0.200
0,15.780,0.7329,0.000,0.0000,0.112,-0.0389,0.040,0.040
0,15.892,0.6939,0.058,0.0121,-3.134,-0.1009,0.120,0.240
0,12.758,0.5931,0.036,0.0030,-0.772,-0.4135,0.240,0.120
0,11.986,0.1796,0.000,-0.0000,0.327,-0.0641,0.040,0.040
0,12.313,0.1154,0.129,0.0110,5.780,0.0911,0.160,0.160
0,18.093,0.2065,0.148,0.0024,2.286,-0.1440,0.160,0.280
0,20.380,0.0625,0.203,0.0063,1.929,-0.1603,0.160,0.200
0,22.309,-0.0978,0.120,0.0030,-4.864,-0.2972,0.240,0.120
0,17.445,-0.3950,0.000,-0.0000,-0.159,-0.0363,0.040,0.040
0,17.286,-0.4314,0.031,0.0052,6.065,0.0368,0.200,0.240
0,23.351,-0.3946,0.199,0.0074,0.082,-0.0173,0.040,0.400
0,23.433,-0.4119,0.066,0.0038,0.759,-0.1795,0.160,0.160
0,24.192,-0.5914,0.070,0.0113,0.015,-0.0205,0.080,0.400
0,24.208,-0.6119,0.104,0.0039,0.067,0.2026,0.120,0.640
0,24.275,-0.4093,0.000,-0.0000,-0.493,0.0255,0.040,0.040
0,23.782,-0.3838,0.191,0.0024,-0.649,0.0015,0.040,0.240
0,23.133,-0.3822,0.000,-0.0000,-3.710,0.2266,0.240,0.040
0,19.423,-0.1556,0.193,0.0061,-3.657,0.1210,0.200,0.360
0,15.767,-0.0346,0.057,0.0088,-0.164,0.0418,0.040,0.080
0,15.603,0.0073,0.083,0.0114,-1.340,0.2925,0.200,0.160
0,14.263,0.2997,0.111,0.0239,-0.306,0.0574,0.040,0.240
0,13.957,0.3571,0.133,0.0026,-0.161,0.1872,0.120,0.080
0,13.796,0.5443,0.000,-0.0000,-0.042,0.0770,0.040,0.040
0,13.754,0.6213,0.044,0.0125,0.089,0.0253,0.040,0.320
0,13.844,0.6466,0.030,0.0020,-2.093,0.2954,0.160,0.120
0,11.751,0.9420,0.000,-0.0000,0.038,0.0878,0.040,0.040
0,11.789,1.0298,0.040,0.0294,-0.060,0.0749,0.040,0.200
0,11.729,1.1048,0.061,0.0192,-2.320,0.3537,0.240,0.440
0,9.409,1.4584,0.083,0.0121,0.161,0.1225,0.040,0.080
0,9.570,1.5809,0.081,0.0408,-2.401,0.4060,0.200,0.720
0,7.168,1.9869,0.073,0.0026,-0.144,0.0956,0.040,0.080
0,7.025,2.0825,0.142,0.0032,0.216,0.0351,0.040,0.120
0,7.241,2.1176,0.073,0.0067,2.508,0.2229,0.120,0.080
0,9.749,2.3405,0.000,-0.0000,0.712,0.0237,0.040,0.040
0,10.461,2.3642,0.000,-0.0000,0.389,0.0392,0.040,0.040
0,10.851,2.4034,0.113,0.0046,0.734,0.0239,0.040,0.120
0,11.584,2.4273,0.126,0.0070,1.641,0.1603,0.160,0.200
0,13.225,2.5875,0.125,0.0028,0.466,0.0226,0.040,0.120
0,13.691,2.6101,0.078,0.0079,2.807,0.1404,0.160,0.280
0,16.498,2.7505,0.214,0.0093,3.287,-0.0207,0.200,0.360
0,19.785,2.7298,0.006,0.0056,0.488,0.0055,0.040,0.080
0,20.273,2.7353,0.000,-0.0000,2.278,-0.0631,0.120,0.040
0,22.550,2.6722,0.156,0.0062,1.621,-0.1825,0.160,0.240
0,24.171,2.4897,0.000,-0.0000,-0.592,-0.1779,0.240,0.040
0,23.579,2.3117,0.072,0.0022,-0.685,-0.1460,0.160,0.240
0,22.894,2.1657,0.026,0.0093,1.403,-0.0604,0.160,0.320
0,24.297,2.1053,0.053,0.0029,-0.348,-0.1394,0.160,0.160
0,23.950,1.9659,0.070,0.0074,-1.104,-0.2058,0.160,0.280
0,22.846,1.7601,0.057,0.0143,0.828,-0.0975,0.120,0.520
0,23.674,1.6626,0.054,0.0032,-1.555,-0.1560,0.120,0.160
0,22.120,1.5065,0.093,0.0085,1.638,-0.0018,0.120,0.400
0,23.758,1.5047,0.069,0.0016,-0.233,-0.1068,0.120,0.080
0,23.525,1.3979,0.134,0.0058,-2.384,-0.1864,0.240,0.200
0,21.141,1.2115,0.076,0.0099,-1.057,-0.1943,0.200,0.360
0,20.083,1.0172,0.101,0.0142,0.168,-0.1614,0.120,0.320
0,20.252,0.8559,0.000,0.0000,0.184,-0.0204,0.040,0.040
0,20.435,0.8355,0.033,0.0067,0.178,-0.0215,0.040,0.200
0,20.614,0.8139,0.045,0.0012,-3.527,-0.1812,0.240,0.120
